109056338102800,0,109056338149232
109056338102800,1,109056338112512
109056338102800,2,109056338142760
109056338102800,3,109056338142768
109056338102800,4,109056338142640
109056338102800,5,109056338148088
109056338102800,6,109056338147968
109056338102800,7,109056338149032
109056338149032,0,109056338148912
109056338149032,1,109056338148816
109056338148816,0,109056338148496
109056338148496,0,109056338148392
109056338148912,0,109056338148192
109056338147968,0,109056338147840
109056338147968,1,109056338147864
109056338147864,0,109056338146464
109056338147864,1,109056338147408
109056338147408,0,109056338147296
109056338147408,1,109056338147200
109056338147200,0,109056338146880
109056338146880,0,109056338146776
109056338147296,0,109056338146576
109056338146464,0,109056338143696
109056338146464,1,109056338145408
109056338146464,2,109056338146016
109056338146016,0,109056338145904
109056338146016,1,109056338145808
109056338145904,0,109056338145520
109056338145408,0,109056338145296
109056338145408,1,109056338145200
109056338145200,0,109056338144000
109056338145200,1,109056338144464
109056338145200,2,109056338144768
109056338144464,0,109056338144120
109056338145296,0,109056338143808
109056338143696,0,109056338143488
109056338143488,0,109056338142976
109056338143488,1,109056338143384
109056338143488,2,109056338143280
109056338142976,0,109056338143080
109056338142640,0,109056338101376
109056338142640,1,109056338101400
109056338101400,0,109056338140624
109056338101400,1,109056338142208
109056338142208,0,109056338142096
109056338142208,1,109056338142000
109056338142000,0,109056338140928
109056338142000,1,109056338141248
109056338142000,2,109056338141568
109056338141248,0,109056338141144
109056338142096,0,109056338140736
109056338140624,0,109056338106440
109056338106440,0,109056338113920
109056338106440,1,109056338113936
109056338113936,0,109056338112832
109056338112832,0,109056338113000
109056338112512,0,109056338105280
109056338112512,1,109056338111056
109056338112512,2,109056338111488
109056338105280,0,109056338110720
